lit_id	run_date	base	query_id	titulo	autores	ano	venue	tipo	doi	url	versao	status_triagem	motivo_exclusao	claims_relacionados	dataset	claim_atomico	fase	nota
LIT-0011	2026-09-14	dataverse.harvard.edu	Q0	Preprint version: Distributed control circuits across a brain-and-cord connectome	Bates et al.	2025	Harvard Dataverse	dataset	10.7910/DVN/8TFGGB	https://doi.org/10.7910/DVN/8TFGGB	materialization 626 (2025-07-21)	incluido		CLM-011	BANC	Snapshot do preprint mantido para rastrear a linhagem de versoes	L02	Versao anterior de LIT-0010
LIT-0012	2026-09-14	biorxiv.org	Q0	Distributed control circuits across a brain-and-cord connectome (preprint v3)	Bates et al.	2025	bioRxiv	preprint	10.1101/2025.07.31.667571	https://doi.org/10.1101/2025.07.31.667571	v3	excluido	Preprint do artigo publicado (versao vinculada a LIT-0009)	CLM-011	BANC	Versao previa do mesmo trabalho	L02	Deduplicacao por versao
LIT-0013	2026-09-14	banc.community	Q0	BANC portal	BANC Consortium		s.d.	portal		https://banc.community	vivo	incluido		CLM-011	BANC	Portal oficial com viewer do volume e acesso via CAVE	L02	Dataset vivo; comparar com snapshot LIT-0010
LIT-0014	2026-09-14	elifesciences.org	Q0	A Connectome of the Male Drosophila Ventral Nerve Cord	Takemura et al.	2024	eLife	journal	10.7554/eLife.97769	https://doi.org/10.7554/eLife.97769	2024-05-23	incluido		CLM-012	MANC	Connectome do cordao nervoso ventral de macho com cerca de 23.000 neuronios e dados via NeuPrint	L02	MANC e uma porcao do VNC, nao do cerebro
LIT-0015	2026-09-14	elifesciences.org	Q0	Systematic annotation of a complete adult male Drosophila nerve cord connectome reveals principles of functional organisation	Marin et al.	2024	eLife	journal	10.7554/eLife.97766	https://doi.org/10.7554/eLife.97766	2024-07-22	incluido		CLM-012	MANC	Anotacao sistematica de neuronios do MANC com tipos e linhagens; companion de LIT-0014	L02	Nao substitui a fonte de conectividade
LIT-0016	2026-09-14	elifesciences.org	Q0	Transforming descending input into behavior: the organization of premotor circuits in the Drosophila Male Adult Nerve Cord connectome	Cheong et al.	2024	eLife	journal	10.7554/eLife.96084	https://doi.org/10.7554/eLife.96084	2024-03-18	incluido		CLM-012	MANC	Organizacao das vias descendentes e pre-motoras do MANC; companion de LIT-0014	L02	Nao substitui a fonte de conectividade
LIT-0017	2026-09-14	janelia.org	Q0	MANC connectome project page	Janelia FlyEM	2023	Janelia	portal		https://www.janelia.org/project-team/flyem/manc-connectome	v1.0 (2023-06-06); v1.2 (2024-03-11)	incluido		CLM-012	MANC	Portal oficial com releases v1.0 e v1.2 registradas	L02	Fonte das versoes de release
LIT-0018	2026-09-14	biorxiv.org	Q0	A Connectome of the Male Drosophila Ventral Nerve Cord (preprint)	Takemura et al.	2023	bioRxiv	preprint	10.1101/2023.06.05.543757	https://doi.org/10.1101/2023.06.05.543757	v2023-06-06	excluido	Preprint do artigo publicado (versao vinculada a LIT-0014)	CLM-012	MANC	Versao previa do mesmo trabalho	L02	Deduplicacao por versao
LIT-0019	2026-09-14	nature.com	Q0	Connectome-driven neural inventory of a complete visual system	Nern et al.	2025	Nature	journal	10.1038/s41586-025-08746-0	https://doi.org/10.1038/s41586-025-08746-0	2025-03-26	incluido		CLM-013	MAOL	Connectome do lobo optico direito de macho com cerca de 53.000 neuronios em 732 tipos	L02	Mesmo especime do CNS masculino; nao confundir com o lobo optico feminino do FAFB
LIT-0020	2026-09-14	codex.flywire.ai	Q0	MAOL v1.1 (OL/R)	FlyWire/FlyEM		s.d.	portal		https://codex.flywire.ai/?dataset=maol	v1.1	incluido		CLM-013	MAOL	Portal oficial do MAOL com 52.445 neuronios e 6.484.936 conexoes na v1.1	L02	Contagem do portal difere da contagem do artigo (53.000); registrar a versao
LIT-0021	2026-09-14	janelia.org	Q0	Optic Lobe dataset project page	Janelia FlyEM	2024	Janelia	portal		https://www.janelia.org/project-team/flyem/optic-lobe	vivo	incluido		CLM-013	MAOL	Pagina oficial do dataset do lobo optico de macho	L02	Um dos datasets do volume do CNS masculino
LIT-0022	2026-09-14	nature.com	Q0	Neuronal parts list and wiring diagram for a visual system	Nern et al.	2024	Nature	journal	10.1038/s41586-024-07981-1	https://doi.org/10.1038/s41586-024-07981-1	2024-10-02	incluido		CLM-009	FlyWire/FAFB	Inventario do lobo optico da femea no FAFB/FlyWire	L02	Subconjunto do FAFB; nao confundir com MAOL (macho)
LIT-0023	2026-09-14	crossref.org	Q0	Sexual dimorphism in the complete Drosophila male central nervous system connectome	Berg, Beckett, Costa et al.	2026	Cell	journal	10.1016/j.cell.2026.08.015	https://doi.org/10.1016/j.cell.2026.08.015	2026-09	incluido		CLM-014	MCNS	Connectome completo do CNS de macho adulto com 166.700 neuronios e 11.710 tipos no resumo publicado (166.691 e 11.691 no PMC/preprint)	L02	Contagens divergem entre versoes; existencia confirmada via Crossref e PMC
LIT-0024	2026-09-14	biorxiv.org	Q0	Sexual dimorphism in the complete connectome of the Drosophila male central nervous system (preprint v2)	Berg et al.	2025	bioRxiv	preprint	10.1101/2025.10.09.680999	https://doi.org/10.1101/2025.10.09.680999	v2 (2025-10-30)	excluido	Preprint do artigo publicado (versao vinculada a LIT-0023)	CLM-014	MCNS	Versao previa do mesmo trabalho	L02	Deduplicacao por versao
LIT-0025	2026-09-14	male-cns.janelia.org	Q0	Male CNS Connectome project page and downloads	Janelia FlyEM	2025	Janelia	portal		https://male-cns.janelia.org/	v1.0	incluido		CLM-014	MCNS	Portal oficial com dados bulk e dataset neuprint male-cns:v1.0	L02	Fonte oficial de download
LIT-0026	2026-09-14	cell.com	Q1	NBLAST: Rapid, Sensitive Comparison of Neuronal Structure and Construction of Neuron Family Databases	Costa, Manton, Ostrovsky et al.	2016	Neuron 91:293-311	journal	10.1016/j.neuron.2016.06.012	https://doi.org/10.1016/j.neuron.2016.06.012	2016-07-20	incluido		CLM-008	múltiplos	Comparacao pairwise de morfologia neuronal por segmentos, sem rotulos, validada em 16.129 neuronios de Drosophila e capaz de distinguir tipos sem informacao a priori	L03	Artigo CC BY; codigo publico em natverse/nat.nblast com licenca nao verificada nesta busca
LIT-0027	2026-09-14	biomedcentral.com	Q1	NeuronBridge: an intuitive web application for neuronal morphology search across large data sets	Clements et al.	2024	BMC Bioinformatics 25:114	journal	10.1186/s12859-024-05732-7	https://doi.org/10.1186/s12859-024-05732-7	2024-03-15	incluido		CLM-008	múltiplos	Servico web com mais de 500 milhoes de matches precomputados entre 6.773 linhas de driver e 54.061 neuronios EM, usando CDM Search e PPPM	L03	Codigo arquivado em Zenodo 10.5281/zenodo.10541060; imagens sujeitas a acordo de licenca
LIT-0028	2026-09-14	direct.mit.edu	Q2	Bisected graph matching improves automated pairing of bilaterally homologous neurons from connectomes	Pedigo, Winding, Priebe, Vogelstein	2022	Network Neuroscience 7(2):599-618	journal	10.1162/netn_a_00287	https://doi.org/10.1162/netn_a_00287	2022-10-25	incluido		CLM-008	múltiplos	Extensao de graph matching que inclui arestas contralaterais e melhora o pareamento de neuronios homologos em cinco connectomas	L03	Pareamentos conhecidos usados apenas para avaliacao; extensoes podem usar pareamentos previamente conhecidos
LIT-0029	2026-09-14	sciencedirect.com	Q2	Seeded graph matching	Fishkind, Adali, Patsolic et al.	2019	Pattern Recognition 87:203-215	journal	10.1016/j.patcog.2018.09.014	https://doi.org/10.1016/j.patcog.2018.09.014	2019-03	incluido		CLM-008	múltiplos	Algoritmo aproximado de graph matching semeado, derivado do FAQ, que completa um alinhamento parcial de vertices	L03	Sementes sao ancoras obrigatorias na variante SGM; variante nao semeada (FAQ) nao usa sementes
LIT-0030	2026-09-14	dl.acm.org	Q2	REGAL: Representation Learning-based Graph Alignment	Heimann, Shen, Safavi, Koutra	2018	CIKM 2018:117-126	conference	10.1145/3269206.3271788	https://doi.org/10.1145/3269206.3271788	2018-10-22	incluido		CLM-008	múltiplos	Metodo nao supervisionado de alinhamento de grafos com embeddings estruturais (xNetMF) e atributos opcionais, sem ancoras	L03	Codigo em github.com/GemsLab/REGAL com licenca MIT
LIT-0031	2026-09-14	dl.acm.org	Q2	FINAL: Fast Attributed Network Alignment	Zhang, Tong	2016	KDD 2016:1345-1354	conference	10.1145/2939672.2939766	https://doi.org/10.1145/2939672.2939766	2016-08	incluido		CLM-008	múltiplos	Familia de algoritmos de alinhamento de redes atribuidas que usa atributos de nos e arestas para guiar o alinhamento de topologia	L03	Preferencia previa de alinhamento H e opcional; codigo hospedado em asu.edu com licenca nao verificada
LIT-0032	2026-09-14	biorxiv.org	Q1	Comparative connectomics of the descending and ascending neurons of the Drosophila nervous system: stereotypy and sexual dimorphism	Stürner et al.	2024	bioRxiv	preprint	10.1101/2024.06.04.596633	https://doi.org/10.1101/2024.06.04.596633	v2024-06-04	incluido		CLM-008	múltiplos	Matching de neuronios do conectivo cervical entre FAFB, FANC e MANC por morfologia e conectividade, com alta correspondencia relatada	L03	Preprint; versao publicada nao verificada nesta busca; contexto de matching multi-dataset
LIT-0033	2026-09-14	direct.mit.edu	Q3	Circuit analysis of the Drosophila brain using connectivity-based neuronal classification reveals organization of key communication pathways	Mehta, Goldin, Ascoli	2023	Network Neuroscience 7(1):269-298	journal	10.1162/netn_a_00283	https://doi.org/10.1162/netn_a_00283	2023-01-01	incluido		CLM-007	múltiplos	Classes neuronais derivadas exclusivamente de conectividade potencial (19.902 neuronios) com informacao mutua normalizada baixa contra morfologia, neurotransmissor e nascimento (0-0,30)	L04	CC BY 4.0; conectividade potencial por sobreposicao espacial (LM), nao sinapse EM
LIT-0034	2026-09-14	cell.com	Q3	Neurotransmitter classification from electron microscopy images at synaptic sites in Drosophila melanogaster	Eckstein, Bates, Champion et al.	2024	Cell 187(10):2574-2594	journal	10.1016/j.cell.2024.03.016	https://doi.org/10.1016/j.cell.2024.03.016	2024-05-09	incluido		CLM-002	múltiplos	Rede neural prediz seis neurotransmissores a partir de imagens EM com 87% por sinapse e 94% por neuronio; ground truth de 356 tipos de 21 estudos	L04	Codigo em github.com/funkelab/synister; dados em Zenodo 10.5281/zenodo.10593546; cotransmissao excluida
LIT-0035	2026-09-14	ojs.aaai.org	Q6	Joint Learning Neuronal Skeleton and Brain Circuit Topology with Permutation Invariant Encoders for Neuron Classification	Liao, Wan, Du	2024	AAAI 38(1)	conference	10.1609/aaai.v38i1.27771	https://doi.org/10.1609/aaai.v38i1.27771	2024-03-24	incluido		CLM-002	múltiplos	NeuNet combina esqueleto e conectoma; ablações no hemibrain mostram queda de 36% sem esqueleto e 6% sem conectoma, indicando complementaridade de modalidades	L04	Codigo em github.com/WHUminghui/NeuNet; classificacao supervisionada com 191 classes do hemibrain
LIT-0036	2026-09-14	github.com	Q3	CBLAST: tools for clustering neurons using synaptic connectivity	connectome-neuprint	2020	GitHub	outro		https://github.com/connectome-neuprint/CBLAST	vivo	incluido		CLM-007	múltiplos	Clustering iterativo por conectividade que parte de tipos putativos gerados por NBLAST ou por intersecao de regioes cerebrais	L04	Repositorio associado a Scheffer et al. 2020; licenca nao verificada nesta busca
LIT-0037	2026-09-14	cell.com	Q3	A Systematic Nomenclature for the Insect Brain	Ito, Shinomiya, Ito et al.	2014	Neuron 81(4):755-765	journal	10.1016/j.neuron.2013.12.017	https://doi.org/10.1016/j.neuron.2013.12.017	2014-02-01	incluido		—	múltiplos	Nomenclatura hierarquica de neuropilas do cerebro de insetos, com 12 supercategorias, 47 neuropilas unitarios e fronteiras definidas por marcadores sinapticos	L04	Base para rotulos de regiao usados em conectomas
LIT-0038	2026-09-14	github.com	Q3	flywire_annotations: anotacoes oficiais do FlyWire	flyconnectome	2024	GitHub	outro		https://github.com/flyconnectome/flywire_annotations	v2.1.0; v3.0.0	incluido		CLM-009	FlyWire/FAFB	Repositorio oficial de anotacoes com colunas de flow, superclass, cell class, side, morphology groups e versoes 2.1.0 (Schlegel 2024) e 3.0.0	L04	Versoes registradas; nao confundir anotacao com conectividade
LIT-0039	2026-09-14	dl.acm.org	Q4	GraphMAE: Self-Supervised Masked Graph Autoencoders	Hou, Liu, Cen et al.	2022	KDD 2022	conference	10.1145/3534678.3539321	https://doi.org/10.1145/3534678.3539321	2022-08-12	incluido		—	múltiplos	Autoencoder mascarado que reconstrui features mascaradas com erro cosseno escalado e supera baselines contrastivos e generativos em 21 datasets	L05	Codigo em github.com/THUDM/GraphMAE; nao reconstrui estrutura
LIT-0040	2026-09-14	cam.ac.uk	Q4	Deep Graph Infomax	Velickovic, Fedus, Hamilton et al.	2019	ICLR 2019	conference	10.17863/cam.40744	https://doi.org/10.17863/cam.40744	2019-05	incluido		—	múltiplos	Aprendizado nao supervisionado por maximizacao de informacao mutua local-global, aplicavel a cenarios transdutivos e indutivos	L05	Implementacoes publicas; codigo nao verificado nesta busca
LIT-0041	2026-09-14	arxiv.org	Q4	Graph Contrastive Learning with Augmentations	You, Chen, Sui et al.	2020	NeurIPS 2020	conference	10.48550/arXiv.2010.13902	https://doi.org/10.48550/arXiv.2010.13902	2020-10-22	incluido		—	múltiplos	Pre-treinamento contrastivo com quatro augmentations de grafo; ganhos em generalizacao, transferencia e robustez relatados	L05	Codigo em github.com/Shen-Lab/GraphCL; augmentations heuristicas
LIT-0042	2026-09-14	arxiv.org	Q4	Variational Graph Auto-Encoders	Kipf, Welling	2016	arXiv (workshop NIPS 2016)	preprint	10.48550/arXiv.1611.07308	https://doi.org/10.48550/arXiv.1611.07308	2016-11-21	incluido		—	múltiplos	Autoencoder variacional para grafos nao dirigidos com decoder de produto interno, avaliado em link prediction	L05	Nao suporta direcao nem pesos; features melhoram o desempenho
LIT-0043	2026-09-14	arxiv.org	Q4	Inductive Representation Learning on Large Graphs	Hamilton, Ying, Leskovec	2017	NeurIPS 2017	conference		https://arxiv.org/abs/1706.02216	2017	incluido		—	múltiplos	GraphSAGE gera embeddings por amostragem e agregacao de vizinhanca, generalizando para nos e grafos nao vistos	L05	Suporte a grafos dirigidos/ponderados listado como trabalho futuro pelos autores
LIT-0044	2026-09-14	arxiv.org	Q4	MagNet: A Neural Network for Directed Graphs	Zhang, He, Brugnone et al.	2021	NeurIPS 2021	conference		https://arxiv.org/abs/2102.11391	2021-02-22	incluido		—	múltiplos	GNN espectral para grafos dirigidos baseada no laplaciano magnetico, com bons resultados em classificacao e link prediction	L05	Nao escala bem em grafos grandes na forma atual; pesos mistos nao resolvidos
LIT-0045	2026-09-14	nature.com	Q7	Mapping higher-order relations between brain structure and function with embedded vector representations of connectomes	Rosenthal, Vasa, Griffa et al.	2018	Nature Communications 9:2178	journal	10.1038/s41467-018-04614-w	https://doi.org/10.1038/s41467-018-04614-w	2018-06-05	incluido		—	múltiplos	Connectome embedding via word2vec em conectoma estrutural humano melhora o mapeamento estrutura-funcao e revela conexoes homotopicas ausentes	L05	Nos sao regioes cerebrais (MRI humano), nao neuronios de connectoma EM; transdutivo
LIT-0046	2026-09-14	arxiv.org	Q4	Graph Foundation Models: Concepts, Opportunities and Challenges	Liu, Yang, Lu et al.	2023	arXiv	preprint	10.48550/arXiv.2310.11829	https://doi.org/10.48550/arXiv.2310.11829	2023-10-18	incluido		—	múltiplos	Survey que define GFMs e classifica abordagens em baseadas em GNN, em LLM e hibridas, discutindo emergencia e homogeneizacao	L05	Survey sem validacao em connectomas; nao autoriza modelo gigante
LIT-0047	2026-09-14	dl.acm.org	Q4	Graph Foundation Models: Challenges, Methods, and Open Questions	Wang, Zhang, Li et al.	2025	KDD 2025	conference	10.1145/3711896.3736568	https://doi.org/10.1145/3711896.3736568	2025-08-03	incluido		—	múltiplos	Survey de GFMs que organiza desafios em heterogeneidade de features, de estrutura e de tarefas e lista perguntas abertas	L05	Perguntas abertas; sem evidencia em connectomas
LIT-0048	2026-09-14	proceedings.mlr.press	Q4	Position: Graph Foundation Models Are Already Here	Mao, Chen, Tang et al.	2024	ICML 2024 (PMLR 235)	conference		https://proceedings.mlr.press/v235/mao24a.html	2024-07-08	incluido		—	múltiplos	Position paper que defende GFMs sob a perspectiva de graph vocabulary com invariâncias transferiveis	L05	Posicao/hipotese; sem resultados em connectomas
